Authors,Title,Year,Journal,Abstract,Keywords,Publisher/Editorial,Language,Document Type,DOI,City of publication,TIPO SCOPUS/WOS
1,"Li Y.; Xia Z.; Yao Q.; Xu Q.; Zheng C.; Hu H.; Li H.",Structural Design Method for Narrow Coal Pillars in Gateway Protection: Framework and Field Case Study,2025,Buildings,"Coal pillars are important safety structures for maintaining the stability of underground coal mine roadways. To address both coal resource loss from wide pillars and the need for safer, more sustainable underground building structures, this study proposes a framework for controlling the surrounding rock based on the narrow pillar. By establishing a load-bearing mechanical model for narrow coal pillars and a mechanical model for roof instability, the design principles of key parameters were clarified, including the optimal width, the required support strength for the pillar–roof system, and the height and angle of roof pre-splitting. In addition, zoning control measures and corresponding technical procedures for adjacent mining roadways were proposed. This technology was applied in Tashan Mine and, during the extraction of panel 8311, the surrounding rock stability of roadway 2312 was well maintained, with the maximum deformation of the solid coal rib measured at 135 mm, while that of the narrow pillar reached 386 mm. The proposed design method can effectively improve coal recovery in underground mining and provide theoretical and technical guidance for coal pillar stability control and wide pillar optimization under complex mining conditions. © 2025 by the authors.","gateway structural stability; mining pressure manifestation; narrow coal pillar; roof pressure relief; surrounding rock control; underground building engineering",Multidisciplinary Digital Publishing Institute (MDPI),English,Article,10.3390/buildings15203682,China,Scopus
2,"Qi Q.; Huang S.; Liu Y.",Research on Surrounding Rock Stability Affected by Surrounding Rock Pressure and Rock Fracture under Blasting Vibration Load Action,2022,Advances in Civil Engineering,"The influence mechanisms of factors, such as high confining pressure and in situ stress caused by deep mining on the stability of surrounding rock of roadways, are complex. Particularly, the motion and energy release of the rock mass medium can be caused by vibration transmission induced by blasting excavation in the underground mining. Based on this, by taking a metal mine with the buried depth of 498 m as a research object, influences of different excavation distances on roof deformation and stress of roadway surrounding rock during the excavation were studied by using a three-dimensional numerical model. Moreover, the weak position of the roof of surrounding rock was determined. Finally, influences of fractured rock mass on propagation of blasting vibration waves in surrounding rock and energy distribution characteristics were analyzed. The research shows that rock mass around the excavated roadway moves towards the excavated space in different advance stages of a working face. The displacement fields on the top of a lateral tunnel present a heart-shaped distribution along the working face and the maximum displacement appears to the roof at the junction of the lateral tunnel and a horizontal roadway along veins. As the advance distance of the working face increases, compression-shear failure mostly occurs in the roadway surrounding rock, and tensile failure and combined tensile and shear failure occur at the unsupported roof and floor of the roadway. With the rise of the confining pressure, the total energy in frequency bands increases and its increase amplitude also rises. Furthermore, energy in a frequency domain of response signals to blasting vibration is transmitted from a secondary frequency band to a primary frequency band and is increasingly concentrated. With the increase of the damage degree of the roadway, signal energy in the frequency domain is transmitted from the primary to the secondary frequency band and signal energy is distributed more dispersedly. The test results are basically consistent with numerical simulation results. This study could provide technical guidance for the stability evaluation of surrounding rock of underground engineering structures.  © 2022 Qingjie Qi et al.",,Hindawi Limited,English,Article,10.1155/2022/1112514,China,Scopus
3,"Wu H.; Li Q.; Zhu C.; Tang P.",Stability Analysis of Surrounding Rock in Mining Tunnels Based on Microseismic Monitoring and Numerical Simulation,2025,Sustainability (Switzerland),"In response to the safety hazards and environmental impacts caused by the decrease in the stability of the surrounding rock of the roadway and the frequent occurrence of microseismic activities during coal mining, the 4331 fully mechanized mining face of Nanpingdong Coal Mine was selected as a case study. Microseismic monitoring technology was used to analyze the spatial distribution of microseismic events in the surrounding rock during mining, and by establishing a FLAC3D numerical model, the displacement of surrounding rock and the evolution law of plastic zone during mining process are studied. The results confirmed that elastic strain energy in the rock is the primary source of microseismic energy. Using FISH language, a distribution cloud map of elastic strain energy was generated and compared with the microseismic event distribution and energy results. The findings indicate that as mining advances, the frequency and energy of microseismic events increase, particularly near faults, with roadway roof rupture exacerbating the events. The distribution of microseismic events correlates strongly with the depth of mining face advancement, highlighting the significant impact of mining activities on surrounding rock stability. The numerical simulation results closely align with on-site microseismic monitoring data, validating the simulation’s accuracy. This study proposes a method for dynamic monitoring and control of roadway surrounding rock stability through real-time microseismic monitoring and numerical simulation, aiming to mitigate surface environmental damage from underground mining. © 2025 by the authors.","environmental effects; microseismic activity; mining impact; numerical modelling; surrounding rock stability",Multidisciplinary Digital Publishing Institute (MDPI),English,Article,10.3390/su17020630,China,Scopus
4,"Xiong L.; Yuan H.; Liu G.; Li H.; Zou Y.; Liu X.; Li X.",Synergetic Theory of Information Entropy Based on Failure Approach Index for Stability Analysis of Surrounding Rock System,2023,Entropy,"It is generally acknowledged that the stability evaluation of surrounding rock denotes nonlinear complex system engineering. In order to accurately and quantitatively assess the safety states of surrounding rock and provide a scientific basis for the prevention and control of surrounding rock stability, the analysis method of the synergetic theory of information entropy using the failure approach index has been proposed. By means of deriving the general relationship between the total two-dimensional plastic shear strain and the total three-dimensional plastic shear strain and obtaining the numerical limit analysis step of the plastic shear strain, the threshold value of the ultimate plastic shear strain can be determined, which has provided the key criterion for the calculation of the information entropy based on the failure approach index. In addition, combining with the synergetic theory of the principle of maximum information entropy, the evolution equation of the excavation step and information entropy based on the failure approach index of the surrounding rock system in underground mining space are established, and the equations of the general solution and particular solution as well as the expression of the destabilizing excavation step are given. To account for this, the method is applied to analyze the failure states of the floor surrounding rock after the mining of the 71 coal seam in Xutuan Coal Mine and involve the disturbance effect and stability control method of the underlying 72 coal seam roof from the macroscopic and microscopic aspects. Consequently, the validity of the analysis method of synergetic theory of information entropy based on the failure approach index has been verified, which presents an updated approach for the stability evaluation of surrounding rock systems that is of satisfactory capability and value in engineering applications. © 2023 by the authors.","information entropy based on failure approach index; numerical limit analysis method; plastic shear strain; surrounding rock system; ultimate plastic shear strain",Multidisciplinary Digital Publishing Institute (MDPI),English,Article,10.3390/e25081237,China,Scopus
5,"Li S.; Lu H.; Chang X.; Yang T.; Mou C.",Numerical Analysis of Synergistic Ground Control Efficacy via Integrated Mining-Backfill-Roof Contact in Metallic Deposits,2025,Applied Sciences (Switzerland),"To investigate the impact of Integrated Mining-Backfill-Roof Contact (IMBR) synergy on strata subsidence in metallic deposits and analyze strata/surface movement patterns, this study enables safe, efficient, environmentally conscious, and sustainable mining development. Focusing on a representative metal mine, we integrated laboratory testing, theoretical analysis, and numerical modeling to determine experimental parameters. Utilizing MIDAS GTS NX, numerical models incorporated four orebody dip angles (30°, 50°, 70°, 90°), five stress release coefficients (20–100%), and contacted/uncontacted conditions to assess IMBR’s control efficacy on surrounding rock stability and surface subsidence. By examining strata/surface movement under variable dip angles and stress release coefficients, displacement control mechanisms were quantified, revealing strata movement evolution principles. Key findings indicate: (1) For all dip angles, the increase rate of displacement progressively intensifies as the excavation stress release coefficient decreases. Notably, at a 30° dipping angle, the most pronounced reduction occurs under declining stress release coefficients, with overall displacement reduction rates reaching 17% for ground surface and 18% for surrounding rock, respectively. (2) Surface displacement impacts intensify as dip angles flatten. (3) Shallower dips induce more pronounced stress disturbance, expanding overburden movement domains and exacerbating surface impacts. Finite element numerical modeling enables accurate and effective analysis of strata and ground movement patterns under varying orebody dipping angles and mining-backfill stress release coefficients. Findings demonstrate that IMBR technology, compared to conventional roof-contacted backfilling methods, achieves timely roof support through immediate backfill-roof contact, significantly reduces overburden fracture propagation depth, and offers valuable insights for controlling surface subsidence in complex mining conditions—particularly for mining under surface structures. © 2025 by the authors.","backfill-roof contact; coordinated subsidence control; numerical simulation; surface subsidence; underground mining",Multidisciplinary Digital Publishing Institute (MDPI),English,Article,10.3390/app15179760,China,Scopus
6,"Ding Q.-L.; Peng Y.-Y.; Cheng Z.; Wang P.",Numerical Simulation of Slope Stability during Underground Excavation Using the Lagrange Element Strength Reduction Method,2022,Minerals,"The entire disturbing slope is divided into four regions. The critical sliding surface shows an L-shaped or a W (double L)-shaped broken line. When the advancement exceeds a certain value, the safety factor suddenly drops. This study offers a basis for selecting an appropriate working face stop line. Highlights: In this study, the Lagrange element strength reduction method is used to explore slope stability and as an evaluation method of underground mining of end-slope coal in a rock-stability analysis. A numerical analysis model is established herein using the geological conditions for mining in a coordinated open pit with an underground mining area of the Anjialing Open-Pit Mine and Underground No. 2 Mine. Additionally, the evolution law of slope stability in open-pit end-slope mining is studied using the proposed numerical simulation method. According to our findings, the steps show obvious horizontal movement and deformation under the influence of underground mining disturbances. Taking the horizontal displacement at the slope tops of the steps as the deformation index, the entire disturbed slope is divided into four regions: upper, middle-upper, middle-lower, and lower steps. When a step is fully affected by underground mining, its subsidence value first increases rapidly and then slowly. An exponential function is used to reflect the change rule in the step-subsidence value as the working face advances. In the underground mining process, the critical sliding surface of the slope develops along the soft rock or coal seam, showing an L-shaped or a W (double L)-shaped broken line. As the working face advances, the initial position of the sliding mass is unchanged while the cutting position alternately changes up and down in the weak plane. The safety factor suddenly drops when the advancing distance exceeds a certain value. © 2022 by the authors.","numerical simulation; overlying strata movement; slope stability; underground excavation",MDPI,English,Article,10.3390/min12081054,China,Scopus
7,"Maina D.; Konietzky H.",The effect of the intermediate principal stress on pillar strength,2025,International Journal of Coal Science and Technology,"Room and pillar mining is an underground mining method that utilizes natural pillar support to control rock mass behavior, ensuring mine stability and a safe mine environment. This study specifically documents the influence of the intermediate principal stress component on the pillar behavior. So far only classical failure criteria ignoring the influence of the intermediate principal stress component were used for underground pillar design. By using an extended Hoek–Brown failure criterion in comparison with the classical Hoek–Brown failure criterion, the influence of the intermediate principal stress component is documented by indicating those areas where the failure criterion is violated. This study demonstrates, that depending on the rock type, the intermediate principal stress component can have a significant effect. Ignoring this influence can lead to uneconomic pillar design and incorrect determination of the factor of safety. © The Author(s) 2025.","Hoek–Brown failure criterion; Intermediate principal stress component; Pillar Strength; Room and pillar mining",Springer International Publishing,English,Article,10.1007/s40789-025-00747-8,Kenya,Scopus
8,"Nurpeisova M.B.; Salkynov A.T.; Soltabayeva S.T.; Miletenko N.A.",PATTERNS OF DEVELOPMENT OF GEOMECHANICAL PROCESSES DURING HYBRID OPEN PIT/UNDERGROUND MINERAL MINING,2024,Eurasian Mining,"This article deals with the determination and analysis of patterns of geomechanical processes in hybrid open pit/underground mineral mining. The domestic and foreign practices of mineral mining gravitate increasingly more toward the hybrid open pit/underground technologies. An illustration of such operations in Kazakhstan is the Saryoba cop-per–gold ore deposit which needs individual engineering solutions and reliable geomechanical justification of production with regard to the standards of subsoil protection and industrial safety. Hybrid open pit/underground mining creates a complex geomechanical system featuring repeated loading of the same rock mass areas during open pit and underground mining operations implemented con-currently or sequentially. The problem of geomechanical assessment of rock mass in such conditions is com-plicated by many internal and external influences, and by variability of rock mass behavior in time and space. Aiming at safe and efficient mining of gold ore lodes at the test deposit, the authors analyze the influence of natural and geotechnical factors on deformation processes, which enables estimating control-lability of these effects on rock mass and its surroundings. This article describes the studies accomplished by the authors in the course of the research in the framework of the Project on Integrated Monitoring of Slow Crustal Motions in Central Kazakhstan. Further-more, the article contains the geomechanical monitoring results obtained by the authors using up-to-date survey and geodesy equipment which ensures high accuracy and efficiency of surveying. The novelty of the research consists in evolvement of a concept about deformation mechanism in bedded rock masses and fracturing of a pillar established between the open pit and underground mine, as well as in determination of displacement patterns in rocks mass subjected to the hybrid open pit/under-ground method of mineral mining, which enables selecting ways of control over geomechanical processes. © 2024, Ore and Metals Publishing house. All rights reserved.","geomechanical processes; methods; mineral mining; monitoring; patterns; rocks",Ore and Metals Publishing house,English,Article,10.17580/em.2024.01.02,Russian Federation,Scopus
9,"Eneyew D.M.; Adamu A.Y.; Ejigu A.A.; Nigussie A.B.; Endalew S.A.; Yalew M.G.; Kebede B.; Zeleke S.; Techane G.; Assefa D.","Stability Assessment and Pillar Design of Underground Drift in Opal-Bearing Rock Masses: A Case Study from Wollo Opal Mining, Ethiopia",2026,Geotechnical and Geological Engineering,"Stability analysis on underground excavation is crucially helps to reduce collapse risks and optimize resource extractions. In this study numerical method was employed for stability analysis on the selected opal mine drift. Intensive field investigation of rock mass characterization, geometry of current mine drift, discontinuity measurements, and insitu rock mass characterizations were done. The Delanta mining site opalized rock layer is naturally weak and unwelded to moderately welded, which is not easy for bolting and steel reinforcements. The Delanta opal resource is found in the deep cliffy gorge greater than 200 m depth from surface. To obtain compressive strength of intact rock properties, laboratory tests of rock samples were conducted. The insitu parameters and laboratory tested parameters were utilized for numerical stability analysis. The study shows stress conditions, deformation behavior and determine pillar dimensions based on the selected rock mass behavior which has critical importance on the safe mining operations. Stress–strain simulations were conducted on 1-m, 2-m and 3-m cross-section of natural rock pillar with 2 m height and 1.5 m width of mine excavation. The evaluated mine drifts have high deformability at the mine gate and less deformable inside the mine drift. Compressive strength of rock samples was low, and the generated deformation behavior of rock pillars is less while excavation move inside 100 m at MinchWuha mining drift. Based on the existing rock mass properties, the mine drift pillars are unstable in 1-m, and 2-m rock pillar dimensions. The mine excavation was more stable while the natural rock pilar dimensions increased to 3-m. The Delanta district mining system should design in room and pillar methods to reduce the risk vulnerability of miners and to increase the opal resource extraction efficiently. Natural rock support system would be better by creating rock pillar than man-made supports. Thus, mining system in the Delanta mine sites should be customized by implementing room and pillar mine systems, which increases the mining safety and resource extraction optimizations with sustainable mining. © The Author(s) 2025.","FLAC2D; Mine safety; Numerical analysis; Underground mining; Wollo opal",Springer Science and Business Media Deutschland GmbH,English,Article,10.1007/s10706-025-03309-6,Ethiopia,Scopus
10,"Adach-Pawelus K.; Pawelus D.",INFLUENCE OF REMNANT SIZE ON THE GEOMECHANICAL SITUATION AND SAFETY IN THE MINING FIELD BASED ON NUMERICAL MODELING,2025,Mining Science,"Great problem associated with the Polish underground mining is doing the mining operations at an increasing depth in difficult geological and mining conditions, among others, in the area of remnant impact. The problem with remnants and its effect on the rock mass behavior is an important issue in the Polish underground hard coal mines and copper mines. The main goal of the paper is to investigate how the different sizes of remnants affect the geomechanical situation in the mining field. Numerical simulations were conducted for the case study of a mining field with a room and pillar mining system, where undisturbed remnants 10, 20, 40, 60, 100, and 200 m in width, were left behind. Results of numerical analysis demonstrate that the size of remnant has a great influence on the stress distribution and rock mass stability in the mining field. As the width of the remnant decreases, the values of vertical stress σy both inside the remnants and in its surroundings increase and reach very high values for narrow remnants. In contrast to the vertical stress σy, the strength factor Sf decreases as the width of the remnant decreases. Simulations show also that leaving a large remnant in the form of a stabilizing pillar, improves the stability of the roof in the mining field but for remnants with high widths an unstable zone might be formed in the roof layers above the edge of the remnant at the goaf side which may cause sudden fracturing and collapse of rigid roof layers on the edge of the remnant. The results achieve in this paper can be utilized to enhance the safety and efficiency of underground mining. © 2025 Wroclaw University of Technology. All rights reserved.","FEM simulations; pillar mining system; room; size of remnant; stability of the rock mass",Wroclaw University of Technology,English,Article,10.37190/msc/205922,Poland,Scopus
